DonationID,ParticipantEmail,DonationDate,DonationAmount,DonationNumber
160,madison.thomas259@community.org,4/4/24,486.57,1
161,madison.thomas259@community.org,6/23/24,211.88,2
162,camila.allen262@learners.net,7/26/24,267.54,1
163,jack.thomas266@studentmail.org,5/27/24,78.74,1
164,lucas.white268@ellarises.org,,78.37,1
165,mia.jones269@studentmail.org,11/10/24,82.07,1
166,claire.jackson271@community.org,8/30/24,780.16,1
167,daniel.young272@community.org,,125.98,1
168,daniel.young272@community.org,,102.28,2
169,daniel.young272@community.org,,83.87,3
170,zoe.lee273@community.org,,211.45,1
171,charlotte.smith277@community.org,,247.41,1
172,charlotte.smith277@community.org,8/28/24,200.13,2
173,olivia.wilson278@community.org,1/12/23,155.18,1
174,ava.wright279@community.org,4/17/23,248.13,1
175,ava.wright279@community.org,,250.3,2
176,mateo.ramirez280@studentmail.org,1/20/23,70.88,1
177,leah.scott283@community.org,3/4/23,201.19,1
178,leah.scott283@community.org,10/16/24,216.77,2
179,jack.moore285@ellarises.org,,232.61,1
180,layla.lee286@ellarises.org,7/22/23,438.31,1
181,lillian.torres287@community.org,,45.9,1
182,mateo.thompson288@ellarises.org,,1040.38,1
183,mateo.thompson288@ellarises.org,12/18/24,74.29,2
184,mateo.thompson288@ellarises.org,12/16/24,158.76,3
185,james.lee289@ellarises.org,10/3/23,23.86,1
186,leah.ramirez290@studentmail.org,,80.47,1
187,leah.ramirez290@studentmail.org,10/21/24,74.85,2
188,abigail.moore291@studentmail.org,7/14/23,225.53,1
189,emily.thompson294@ellarises.org,6/22/24,455.51,1
190,henry.perez299@community.org,2/16/24,82.53,1
191,camila.martin303@studentmail.org,3/16/23,57.33,1
192,levi.nguyen304@community.org,5/28/23,76.94,1
193,jack.miller310@community.org,11/17/23,49.02,1
194,hannah.wilson314@learners.net,10/23/24,465.97,1
195,nora.robinson315@ellarises.org,9/20/23,139.89,1
196,sebastian.lopez319@studentmail.org,7/31/24,74.74,1
197,charlotte.thompson320@ellarises.org,6/14/24,230.96,1
198,jackson.clark321@community.org,3/21/24,52.89,1
199,henry.wright324@studentmail.org,2/25/24,52.05,1
200,kennedy.wright327@learners.net,1/15/25,203.19,1
201,penelope.white331@community.org,6/4/23,94.37,1
202,aurora.perez333@studentmail.org,11/24/23,69.49,1
203,sofia.martin335@studentmail.org,10/20/24,473.94,1
204,aria.jones340@ellarises.org,,184.51,1
205,noah.flores341@community.org,,921.39,1
206,lillian.young345@ellarises.org,2/12/23,61.94,1
207,lillian.young345@ellarises.org,1/24/23,78.41,2
208,oliver.white346@studentmail.org,2/10/23,1106.46,1
209,mateo.clark348@community.org,10/7/23,1104.52,1
210,mateo.clark348@community.org,9/3/24,74.4,2
211,penelope.garcia349@learners.net,,530.11,1
212,evelyn.young354@community.org,,68.74,1
213,evelyn.young354@community.org,,114.25,2
214,evelyn.young354@community.org,12/14/23,70.48,3
215,lily.taylor355@ellarises.org,,40.69,1
216,addison.williams356@community.org,1/14/24,203.43,1
217,oliver.anderson357@learners.net,3/7/23,136.01,1
218,olivia.perez362@ellarises.org,,162.92,1
219,michael.clark364@learners.net,4/3/23,220.57,1
220,addison.miller371@community.org,6/4/23,213.63,1
221,hazel.moore379@studentmail.org,8/28/24,23.7,1
222,hazel.moore379@studentmail.org,,110.91,2
223,hazel.moore379@studentmail.org,7/2/24,58.77,3
224,amelia.walker380@learners.net,11/10/23,544.27,1
225,paisley.wright381@ellarises.org,,474.36,1
226,paisley.wright381@ellarises.org,4/16/25,49.18,2
227,paisley.wright381@ellarises.org,,1031.71,3
228,emma.king384@community.org,6/17/24,111.57,1
229,isabella.lopez389@learners.net,5/19/23,248.54,1
230,evelyn.thomas390@learners.net,,29.45,1
231,skylar.lewis391@ellarises.org,6/12/24,21.88,1
232,skylar.lewis391@ellarises.org,10/6/23,223.77,2
233,isabella.jackson394@ellarises.org,,176.89,1
234,chloe.hill396@community.org,11/12/23,44.88,1
235,chloe.hill396@community.org,,30.09,2
236,elizabeth.garcia403@learners.net,9/18/23,279.42,1
237,isabella.allen405@studentmail.org,,494.09,1
238,zoey.rodriguez406@ellarises.org,,144.09,1
239,aria.hill407@learners.net,,73.35,1
240,aria.hill407@learners.net,,269.29,2
241,aria.hill407@learners.net,,233.54,3
242,isabella.lopez411@learners.net,,1152.45,1
243,lillian.brown412@community.org,6/7/25,260.27,1
244,bella.moore413@community.org,,148.71,1
245,claire.moore414@community.org,9/25/23,484,1
246,michael.white415@ellarises.org,,138.45,1
247,michael.white415@ellarises.org,3/11/24,26.26,2
248,liam.rodriguez416@ellarises.org,,55.3,1
249,victoria.taylor422@learners.net,,85.81,1
250,aurora.martin424@ellarises.org,,193.09,1
251,aurora.martin424@ellarises.org,5/2/24,80.67,2
252,aurora.martin424@ellarises.org,,1011.29,3
253,lucy.martin425@studentmail.org,11/30/24,237.63,1
254,leah.king432@learners.net,2/11/24,47.32,1
255,leah.king432@learners.net,2/15/24,101.51,2
256,aaliyah.brown434@ellarises.org,10/5/23,264.32,1
257,alexander.garcia435@studentmail.org,10/21/23,104.83,1
258,hazel.allen438@learners.net,10/30/23,108.81,1
259,michael.hill439@learners.net,5/24/24,249.69,1
260,michael.hill439@learners.net,,883.68,2
261,stella.gonzalez440@studentmail.org,1/14/25,148.78,1
262,stella.gonzalez440@studentmail.org,9/15/23,23.45,2
263,eleanor.wright442@ellarises.org,,140.19,1
264,savannah.hernandez447@ellarises.org,1/13/25,430.23,1
265,elizabeth.taylor449@studentmail.org,11/28/24,82.71,1
266,olivia.rodriguez451@studentmail.org,12/9/23,153.69,1
267,sofia.walker455@community.org,,527.14,1
268,brooklyn.allen462@studentmail.org,,76,1
269,mila.williams465@studentmail.org,10/7/23,1015.65,1
270,nora.gonzalez466@ellarises.org,,252.16,1
271,mason.brown468@community.org,9/30/24,216.3,1
272,mason.brown468@community.org,3/2/24,89.49,2
273,sofia.miller469@community.org,,264.36,1
274,sofia.miller469@community.org,5/26/24,500.12,2
275,sofia.miller469@community.org,7/11/23,191.55,3
276,sofia.miller469@community.org,,67.87,4
277,leah.harris477@community.org,7/14/23,268.55,1
278,leah.harris477@community.org,2/13/24,94.09,2
279,leah.harris477@community.org,3/19/24,48.93,3
280,nora.flores478@community.org,,154.41,1
281,nora.flores478@community.org,2/8/25,88.68,2
282,nora.gonzalez479@learners.net,12/31/23,129.79,1
283,sebastian.sanchez484@ellarises.org,11/25/23,484.29,1
284,addison.williams486@learners.net,6/4/25,86.46,1
285,zoey.lee488@ellarises.org,3/11/24,997.28,1
286,william.jones490@studentmail.org,9/17/24,464.84,1
287,william.jones490@studentmail.org,6/4/25,279.23,2
288,liam.ramirez492@learners.net,,77.39,1
289,liam.ramirez492@learners.net,2/6/24,278.79,2
290,liam.ramirez492@learners.net,6/30/25,26.76,3
291,brooklyn.hill494@ellarises.org,,25.35,1
292,aria.martin496@learners.net,3/19/25,96.41,1
293,aria.martin496@learners.net,7/22/24,153.77,2
294,james.wright497@ellarises.org,8/1/25,974.13,1
295,charlotte.scott499@community.org,11/5/23,483.1,1
296,harper.gonzalez501@learners.net,2/16/25,843.07,1
297,william.moore503@learners.net,10/13/24,1018.98,1
298,liam.nguyen506@studentmail.org,1/21/24,24.98,1
299,daniel.garcia508@community.org,1/23/24,992.41,1
300,daniel.garcia508@community.org,8/28/23,229.29,2
301,daniel.rodriguez509@community.org,,27.72,1
302,stella.williams510@studentmail.org,,920.76,1
303,natalie.nguyen513@ellarises.org,2/4/24,95.33,1
304,natalie.nguyen513@ellarises.org,,24.4,2
305,madison.clark516@learners.net,,78.8,1
306,emma.jackson519@ellarises.org,2/20/24,189.45,1
307,william.king524@community.org,3/9/24,26.95,1
308,william.king524@community.org,,453.63,2
309,william.king524@community.org,2/25/25,205.48,3
310,william.king524@community.org,4/17/24,67.15,4
311,leah.thompson525@ellarises.org,7/14/24,281.85,1
312,michael.smith527@community.org,,80.77,1
313,avery.anderson531@community.org,11/24/24,920.69,1
314,charlotte.hernandez532@community.org,7/14/25,81.68,1
315,william.garcia533@ellarises.org,7/20/24,73.44,1
316,hazel.sanchez534@learners.net,,1151.95,1
317,olivia.gonzalez535@learners.net,11/10/23,141.46,1
318,ella.allen540@learners.net,1/29/25,49.96,1
319,ella.allen540@learners.net,5/11/24,104.78,2
320,ella.allen540@learners.net,,540.82,3
321,jack.lee544@learners.net,,86.6,1
322,jack.lee544@learners.net,2/28/24,50.22,2
323,addison.flores546@learners.net,11/17/24,277.99,1
324,zoe.white553@community.org,,264.86,1
325,scarlett.walker555@ellarises.org,7/19/24,912.69,1
326,nora.torres559@studentmail.org,8/15/25,80.43,1
327,lucas.garcia560@community.org,,87.63,1
328,lucas.clark563@studentmail.org,9/4/24,239.78,1
329,lucas.clark563@studentmail.org,12/4/23,185.34,2
330,charlotte.johnson565@community.org,,223.9,1
331,theodore.wright568@learners.net,3/3/25,91.73,1
332,benjamin.torres569@community.org,,49.94,1
333,brooklyn.smith571@ellarises.org,8/20/24,28.9,1
334,ava.scott573@learners.net,4/3/25,84.01,1
335,paisley.jackson575@learners.net,10/31/25,23.95,1
336,benjamin.flores576@community.org,,90.79,1
337,bella.young579@learners.net,10/19/25,27.74,1
338,amelia.moore580@community.org,9/3/24,1005.39,1
339,nora.robinson582@ellarises.org,,23.05,1
340,claire.hernandez583@ellarises.org,11/8/25,26.06,1
341,natalie.brown584@studentmail.org,10/7/25,99.58,1
342,natalie.brown584@studentmail.org,,203.63,2
343,natalie.brown584@studentmail.org,,98.49,3
344,natalie.brown584@studentmail.org,,490.35,4
345,penelope.nguyen585@ellarises.org,,241.89,1
346,zoey.torres590@studentmail.org,10/19/24,1026.42,1
347,lily.jones591@studentmail.org,5/1/25,55.37,1
348,lily.jones591@studentmail.org,12/14/25,238.53,2
349,amelia.flores598@learners.net,,71.01,1
350,william.lee603@studentmail.org,3/17/25,110.2,1
351,james.smith604@ellarises.org,1/24/24,55.84,1
352,james.smith604@ellarises.org,8/26/25,88.98,2
353,ava.martin605@studentmail.org,11/24/25,132.82,1
354,daniel.scott606@studentmail.org,8/19/24,146.62,1
355,natalie.nguyen607@studentmail.org,10/17/24,233.95,1
356,mia.lee611@studentmail.org,12/8/24,44.84,1
357,sofia.rodriguez614@community.org,9/19/25,252.19,1
358,sofia.rodriguez614@community.org,,76.47,2
359,mason.thomas615@studentmail.org,4/18/24,22.43,1
360,emily.davis616@community.org,,25.19,1
361,emily.davis616@community.org,12/25/23,117.42,2
362,sophia.martin617@studentmail.org,12/29/24,94.05,1
363,sophia.martin617@studentmail.org,10/30/24,71.75,2
364,aurora.smith619@learners.net,,528.08,1
365,aurora.smith619@learners.net,,24.33,2
366,sebastian.wilson620@studentmail.org,2/7/24,107.87,1
367,sebastian.wilson620@studentmail.org,,85.9,2
368,sebastian.wilson620@studentmail.org,,256.59,3
369,aria.johnson621@community.org,5/24/24,86.39,1
370,aria.johnson621@community.org,,1029.21,2
371,aria.johnson621@community.org,3/7/25,271.82,3
372,paisley.brown622@community.org,6/29/25,53.45,1
373,elizabeth.lee624@community.org,11/7/24,210.37,1
374,skylar.lewis629@studentmail.org,7/21/24,239.35,1
375,skylar.lewis629@studentmail.org,,23.86,2
376,skylar.lewis629@studentmail.org,2/6/25,69.64,3
377,mila.rodriguez633@studentmail.org,,199.23,1
378,camila.allen635@community.org,4/21/24,28.92,1
379,nora.wilson637@ellarises.org,,219.52,1
380,nora.wilson637@ellarises.org,,40.3,2
381,addison.ramirez638@community.org,9/8/24,80.07,1
382,addison.ramirez638@community.org,3/17/26,245.34,2
383,sebastian.king639@ellarises.org,6/27/25,426.15,1
384,savannah.lewis641@community.org,5/19/25,164.86,1
385,ella.lopez643@studentmail.org,,212.51,1
386,nora.robinson644@ellarises.org,,26.56,1
387,nora.robinson644@ellarises.org,7/19/24,73.25,2
388,scarlett.hernandez647@studentmail.org,,901.21,1
389,penelope.flores651@studentmail.org,3/6/25,135.77,1
390,penelope.flores651@studentmail.org,11/21/25,238.68,2
391,aria.williams652@learners.net,3/12/25,47.69,1
392,claire.white654@community.org,10/30/25,84.87,1
393,avery.moore655@learners.net,3/1/26,97.95,1
394,amelia.miller656@ellarises.org,,82.69,1
395,jackson.young658@studentmail.org,,200.87,1
396,theodore.davis659@studentmail.org,9/6/24,211.57,1
397,theodore.davis659@studentmail.org,,98.1,2
398,theodore.davis659@studentmail.org,2/28/25,65.98,3
399,hannah.smith660@studentmail.org,,26.71,1
400,sebastian.perez663@community.org,8/17/25,92.89,1
401,aaliyah.scott664@ellarises.org,10/2/25,238.94,1
402,aaliyah.scott664@ellarises.org,12/9/25,487.36,2
403,jackson.thomas667@learners.net,3/2/25,467.43,1
404,aria.miller670@studentmail.org,,269.97,1
405,evelyn.martin676@learners.net,5/4/24,756.04,1
406,charlotte.miller677@community.org,8/14/24,246.69,1
407,evelyn.martin683@community.org,12/1/25,826.27,1
408,ethan.thomas685@studentmail.org,,19.52,1
409,leah.lee687@community.org,6/27/24,51.25,1
410,leah.lee687@community.org,8/21/24,53.51,2
411,ava.martinez688@studentmail.org,,165.11,1
412,jack.rodriguez693@studentmail.org,4/27/25,97.18,1
413,jack.rodriguez693@studentmail.org,4/23/25,988.7,2
414,william.rodriguez695@ellarises.org,11/25/24,1070.26,1
415,ava.torres697@community.org,,47.4,1
416,abigail.martinez699@learners.net,2/16/25,51.74,1
417,daniel.walker701@learners.net,,78.65,1
418,brooklyn.torres702@learners.net,2/12/25,20.43,1
419,eleanor.rodriguez704@learners.net,10/20/25,1104.82,1
420,eleanor.rodriguez704@learners.net,9/1/25,245.84,2
421,eleanor.rodriguez704@learners.net,2/9/25,25.71,3
422,eleanor.rodriguez704@learners.net,12/9/25,438.61,4
423,layla.nguyen705@studentmail.org,,26.09,1
424,hazel.thomas707@community.org,1/1/26,69.62,1
425,madison.harris709@community.org,2/8/26,24.75,1
426,olivia.jones713@ellarises.org,1/26/26,207.57,1
427,victoria.jackson714@learners.net,,189.89,1
428,victoria.jackson714@learners.net,6/3/26,551.84,2
429,hannah.hill715@ellarises.org,4/18/26,519.26,1
430,james.lopez719@community.org,2/4/26,227.99,1
431,mila.lewis720@learners.net,,75.68,1
432,mila.lewis720@learners.net,,27.32,2
433,paisley.martinez722@learners.net,9/5/25,299.25,1
434,emma.williams729@learners.net,10/21/24,44.28,1
435,michael.robinson730@studentmail.org,,67.53,1
436,emma.walker731@ellarises.org,,145.5,1
437,emma.walker731@ellarises.org,5/30/25,69.06,2
438,ethan.rodriguez734@learners.net,12/26/24,208.29,1
439,penelope.martinez735@community.org,4/9/26,23.54,1
440,mia.rodriguez736@ellarises.org,,148.42,1
441,ava.lopez737@ellarises.org,12/16/25,232.51,1
442,aria.moore738@community.org,12/8/24,77.66,1
443,avery.king740@ellarises.org,7/1/25,79.58,1
444,mia.brown742@learners.net,4/5/26,89.38,1
445,lillian.lewis744@learners.net,,72.18,1
446,theodore.robinson749@community.org,,125.34,1
447,theodore.moore751@ellarises.org,,201.68,1
448,theodore.moore751@ellarises.org,,53.63,2
449,sophia.robinson756@community.org,,77.59,1
450,natalie.brown759@ellarises.org,1/11/26,1061.95,1
451,grace.anderson761@learners.net,,54.59,1
452,grace.anderson761@learners.net,,195.1,2
453,charlotte.jones762@learners.net,,267.08,1
454,jack.wright763@learners.net,11/9/24,184.03,1
455,aria.young765@studentmail.org,,152.12,1
456,mason.scott768@community.org,7/22/26,21.11,1
457,madison.walker769@learners.net,,517.32,1
458,madison.walker769@learners.net,,196.78,2
459,madison.walker769@learners.net,,179.73,3
460,madison.walker769@learners.net,,116.62,4
461,avery.johnson773@community.org,5/26/26,80.02,1
462,avery.johnson773@community.org,8/7/25,69.85,2
463,ethan.allen774@learners.net,5/15/25,25.24,1
464,violet.davis775@community.org,6/11/25,50.93,1
465,violet.davis775@community.org,,47.46,2
466,victoria.lewis776@learners.net,10/6/24,26.34,1
467,penelope.gonzalez777@ellarises.org,4/21/25,251.35,1
468,alexander.lee778@ellarises.org,2/19/25,59.75,1
469,olivia.jackson779@learners.net,,27.11,1
470,oliver.lewis780@learners.net,,222.63,1
471,oliver.lewis780@learners.net,1/30/26,146.03,2
472,camila.nguyen781@ellarises.org,,141.52,1
473,camila.gonzalez783@studentmail.org,,893.27,1
474,camila.gonzalez783@studentmail.org,,24.39,2
475,jack.davis785@learners.net,5/22/25,173.77,1
476,avery.white787@ellarises.org,12/25/24,503.91,1
477,avery.white787@ellarises.org,8/8/26,220.17,2
478,charlotte.jackson789@learners.net,,25.47,1
479,noah.perez792@studentmail.org,2/22/26,24.4,1
480,noah.perez792@studentmail.org,12/13/24,331.22,2
481,mason.wright793@ellarises.org,2/20/26,947.3,1
482,mason.wright793@ellarises.org,9/28/24,238.64,2
483,ava.miller802@studentmail.org,9/15/24,139.29,1
484,natalie.jackson805@ellarises.org,11/7/25,22.77,1
485,bella.lewis806@studentmail.org,,90.42,1
486,zoe.lopez807@ellarises.org,,67.08,1
487,zoe.lopez807@ellarises.org,3/22/26,140.31,2
488,harper.white809@studentmail.org,11/20/24,70.34,1
489,jackson.moore810@learners.net,,50.28,1
490,jackson.moore810@learners.net,6/15/25,1070.23,2
491,sophia.miller812@ellarises.org,,150.14,1
492,claire.martinez813@learners.net,8/1/26,469.9,1
493,claire.martinez813@learners.net,11/30/24,1122.55,2
494,nora.jackson814@community.org,,455.24,1
495,ethan.johnson815@ellarises.org,1/30/25,49.46,1
496,ethan.johnson815@ellarises.org,4/3/26,25.68,2
497,jackson.nguyen819@community.org,10/11/25,25.52,1
498,mia.rodriguez820@learners.net,9/6/26,149.11,1
499,elizabeth.ramirez821@learners.net,6/18/25,451.22,1
500,lillian.martin822@ellarises.org,9/24/25,86.14,1
501,lillian.martin822@ellarises.org,8/1/26,25.32,2
502,lillian.martin822@ellarises.org,8/7/26,52.97,3
503,lillian.martin822@ellarises.org,6/28/26,229.87,4
504,sebastian.lee823@ellarises.org,7/6/26,23.88,1
505,jack.nguyen824@ellarises.org,2/5/25,79.57,1
506,jack.nguyen824@ellarises.org,,444.52,2
507,jack.nguyen824@ellarises.org,,137.45,3
508,kennedy.jones829@learners.net,6/6/25,187.04,1
509,kennedy.jones829@learners.net,,96.83,2
510,sebastian.flores832@community.org,,138.46,1
511,sebastian.flores832@community.org,10/14/26,105.18,2
512,scarlett.martin833@community.org,4/11/25,86.8,1
513,scarlett.martin833@community.org,,185.54,2
514,lily.taylor834@studentmail.org,,139.09,1
515,lily.taylor834@studentmail.org,6/10/25,82.79,2
516,bella.robinson835@community.org,5/16/26,147.52,1
517,camila.johnson836@learners.net,10/30/24,214.25,1
518,natalie.garcia838@community.org,,1090.97,1
519,natalie.garcia838@community.org,10/27/25,139.39,2
520,mason.taylor839@community.org,8/26/26,63.79,1
521,mason.taylor839@community.org,6/22/25,172.9,2
522,hazel.thomas840@community.org,5/3/26,49.64,1
523,noah.taylor841@ellarises.org,,517.77,1
524,avery.wright844@studentmail.org,10/15/25,143.75,1
525,lily.taylor847@ellarises.org,8/16/25,985.99,1
526,sophia.brown848@studentmail.org,5/19/26,517.2,1
527,bella.lee849@ellarises.org,10/5/25,77.2,1
528,bella.lee849@ellarises.org,2/17/25,26.48,2
529,sofia.hill850@community.org,12/21/24,121.81,1
530,claire.jackson851@studentmail.org,3/18/25,49.61,1
531,claire.jackson851@studentmail.org,10/21/25,228.81,2
532,victoria.johnson852@ellarises.org,,117.36,1
533,victoria.johnson852@ellarises.org,,57.94,2
534,victoria.johnson852@ellarises.org,12/13/24,27.79,3
