MilestoneID,ParticipantEmail,MilestoneTitle,MilestoneCategory,MilestoneDate
47,evelyn.martinez40@ellarises.org,AAS in Drafting & Design,Associate's Degree,8/22/25
48,bella.white41@ellarises.org,BS in Mechanical Engineering,Bachelor's Degree,12/16/32
49,noah.flores42@studentmail.org,Middle School Diploma,Middle School Diploma,1/28/26
50,noah.flores42@studentmail.org,AAS in Drafting & Design,Associate's Degree,4/1/25
51,skylar.clark43@studentmail.org,Studio Assistant,Career,3/5/25
52,jack.anderson44@studentmail.org,Web Development Certificate,Certificates & Awards,3/6/26
53,zoey.sanchez45@learners.net,Middle School Diploma,Middle School Diploma,8/14/23
54,liam.wright46@learners.net,Competition Award,Certificates & Awards,2/9/26
55,mila.hill47@community.org,Middle School Diploma,Middle School Diploma,9/30/24
56,hazel.torres48@studentmail.org,MBA,Master's Degree,4/1/22
57,avery.martin50@learners.net,Internship,Internship,12/2/23
58,oliver.harris51@studentmail.org,AA in Art & Design,Associate's Degree,11/20/24
59,oliver.harris51@studentmail.org,Middle School Diploma,Middle School Diploma,11/10/24
60,william.nguyen52@learners.net,Published Project,Project,2/2/26
61,chloe.garcia53@learners.net,Mentorship Program,Career,1/14/26
62,bella.anderson54@studentmail.org,Camp Counselor,Career,8/9/25
63,bella.anderson54@studentmail.org,AA in Art & Design,Associate's Degree,8/28/26
64,bella.anderson54@studentmail.org,Published Project,Project,3/3/25
65,benjamin.clark55@studentmail.org,High School Diploma,High School Diploma,5/3/25
66,ava.miller56@community.org,Clinical Data Coordinator,Career,6/2/29
67,ava.miller56@community.org,Published Project,Project,3/24/22
68,addison.davis57@community.org,Clinical Data Coordinator,Career,7/15/31
69,addison.davis57@community.org,Retail Assistant,Career,6/9/24
70,henry.flores58@community.org,Mentorship Program,Career,5/4/24
71,henry.flores58@community.org,Competition Award,Certificates & Awards,9/1/23
72,penelope.king59@community.org,Camp Counselor,Career,9/4/23
73,penelope.king59@community.org,MFA in Studio Arts,Master's Degree,1/2/36
74,paisley.perez60@learners.net,IT Help Desk Trainee,Career,5/30/24
75,paisley.perez60@learners.net,Middle School Diploma,Middle School Diploma,8/29/24
76,hannah.jones61@community.org,Systems Analyst,Career,4/30/28
77,oliver.harris62@ellarises.org,BA in Studio Arts,Bachelor's Degree,11/22/24
78,oliver.wright63@studentmail.org,Lifeguard,Career,11/11/25
79,violet.sanchez64@studentmail.org,Middle School Diploma,Middle School Diploma,4/28/23
80,violet.sanchez64@studentmail.org,Competition Award,Certificates & Awards,8/26/23
81,sophia.garcia65@community.org,Internship,Internship,10/10/24
82,sophia.garcia65@community.org,BA in Studio Arts,Bachelor's Degree,11/23/22
83,claire.wilson66@community.org,Internship,Internship,4/5/24
84,eleanor.garcia67@community.org,Competition Award,Certificates & Awards,12/25/22
85,harper.williams68@ellarises.org,Middle School Diploma,Middle School Diploma,10/10/25
86,ella.torres69@studentmail.org,AS in Information Systems,Associate's Degree,4/2/26
87,ella.hernandez70@learners.net,Studio Assistant,Career,11/30/27
88,james.gonzalez71@ellarises.org,BS in Data Analytics,Bachelor's Degree,5/7/33
89,james.gonzalez71@ellarises.org,Published Project,Project,12/16/25
90,mia.thompson72@community.org,Customer Support Rep,Career,4/25/23
91,alexander.miller73@community.org,Mentorship Program,Career,9/20/25
92,michael.moore74@community.org,Middle School Diploma,Middle School Diploma,11/19/22
93,emily.moore75@community.org,MBA,Master's Degree,7/18/27
94,emily.moore75@community.org,Mentorship Program,Career,4/17/26
95,penelope.scott77@ellarises.org,AS in Computer Science,Associate's Degree,12/6/22
96,alexander.scott78@studentmail.org,Middle School Diploma,Middle School Diploma,11/26/25
97,emily.jackson79@studentmail.org,Competition Award,Certificates & Awards,5/19/23
98,emily.jackson79@studentmail.org,Published Project,Project,11/20/23
99,jack.scott80@learners.net,AAS in Drafting & Design,Associate's Degree,2/21/24
100,sebastian.lopez82@studentmail.org,Web Development Certificate,Certificates & Awards,4/2/32
101,aurora.miller83@studentmail.org,MS in Information Systems,Master's Degree,10/12/26
102,sebastian.rodriguez84@learners.net,High School Diploma,High School Diploma,8/23/30
103,alexander.miller85@ellarises.org,Competition Award,Certificates & Awards,1/19/26
104,alexander.miller85@ellarises.org,Middle School Diploma,Middle School Diploma,12/8/25
105,alexander.miller85@ellarises.org,MBA,Master's Degree,8/23/27
106,victoria.king88@community.org,Product Designer,Career,3/15/32
107,amelia.flores89@ellarises.org,Web Development Certificate,Certificates & Awards,10/24/30
108,amelia.flores89@ellarises.org,Lab Assistant,Career,10/24/29
109,amelia.flores89@ellarises.org,Middle School Diploma,Middle School Diploma,10/24/25
110,lillian.lopez90@ellarises.org,Mentorship Program,Career,10/31/25
111,savannah.williams91@studentmail.org,Middle School Diploma,Middle School Diploma,10/31/23
112,lucy.nguyen92@studentmail.org,Data Analyst,Career,7/11/33
113,aria.jones93@ellarises.org,Mentorship Program,Career,3/15/23
114,brooklyn.sanchez94@learners.net,MS in Information Systems,Master's Degree,6/4/26
115,brooklyn.sanchez94@learners.net,Published Project,Project,6/18/26
116,william.lee95@learners.net,Published Project,Project,4/29/23
117,mia.lopez96@community.org,Studio Assistant,Career,2/11/23
118,alexander.garcia97@community.org,Competition Award,Certificates & Awards,6/29/24
119,skylar.clark98@community.org,Published Project,Project,3/14/24
120,eleanor.lee99@ellarises.org,High School Diploma,High School Diploma,10/1/29
121,theodore.clark100@ellarises.org,Digital Illustration Certificate,Certificates & Awards,1/11/30
122,theodore.clark100@ellarises.org,Camp Counselor,Career,7/12/22
123,grace.moore101@studentmail.org,BS in Computer Science,Bachelor's Degree,5/13/23
124,lillian.hernandez102@learners.net,MFA in Studio Arts,Master's Degree,1/15/25
125,oliver.walker104@community.org,Internship,Internship,8/15/25
126,oliver.walker104@community.org,Junior Art Assistant,Career,4/20/25
127,oliver.walker104@community.org,BS in Data Analytics,Bachelor's Degree,8/9/26
128,daniel.rodriguez105@ellarises.org,Mentorship Program,Career,5/22/25
129,daniel.rodriguez105@ellarises.org,Web Development Certificate,Certificates & Awards,5/22/27
130,daniel.rodriguez105@ellarises.org,AAS in Drafting & Design,Associate's Degree,5/22/27
131,aurora.martin106@community.org,BA in Studio Arts,Bachelor's Degree,9/28/25
132,aurora.martin106@community.org,Internship,Internship,4/17/22
133,ethan.harris107@community.org,Mentorship Program,Career,6/7/22
134,noah.williams108@learners.net,IT Support Certificate,Certificates & Awards,11/19/30
135,scarlett.young109@ellarises.org,IT Support Certificate,Certificates & Awards,10/26/25
136,elizabeth.king110@community.org,Internship,Internship,2/20/23
137,jack.taylor111@learners.net,High School Diploma,High School Diploma,2/15/30
138,leah.lee112@community.org,Published Project,Project,7/28/23
139,madison.garcia113@community.org,IT Help Desk Trainee,Career,8/17/23
140,brooklyn.johnson114@ellarises.org,Data Analyst,Career,1/15/27
141,aria.thomas115@community.org,Camp Counselor,Career,9/18/23
142,aria.thomas115@community.org,IT Support Certificate,Certificates & Awards,9/2/29
143,lillian.young116@studentmail.org,Middle School Diploma,Middle School Diploma,4/25/24
144,olivia.robinson117@learners.net,BS in Data Analytics,Bachelor's Degree,3/7/31
145,elijah.taylor118@community.org,IT Help Desk Trainee,Career,2/27/25
146,stella.torres119@learners.net,Published Project,Project,1/9/25
147,stella.torres119@learners.net,Internship,Internship,12/26/24
148,charlotte.hill120@community.org,Product Designer,Career,11/30/23
149,eleanor.rodriguez121@ellarises.org,Published Project,Project,11/7/25
150,eleanor.rodriguez121@ellarises.org,Competition Award,Certificates & Awards,1/19/26
151,sofia.garcia122@learners.net,Digital Illustration Certificate,Certificates & Awards,3/31/26
152,sofia.garcia122@learners.net,MBA,Master's Degree,11/8/25
153,natalie.king123@learners.net,Web Development Certificate,Certificates & Awards,9/29/32
154,natalie.king123@learners.net,AS in Information Systems,Associate's Degree,9/29/32
155,natalie.king123@learners.net,Middle School Diploma,Middle School Diploma,9/29/27
156,ella.robinson124@ellarises.org,Clinical Data Coordinator,Career,7/2/31
157,james.smith125@learners.net,BS in Information Systems,Bachelor's Degree,2/10/31
158,zoe.miller126@studentmail.org,Lab Assistant,Career,9/7/28
159,harper.robinson127@learners.net,IT Support Certificate,Certificates & Awards,4/16/25
160,ella.miller128@studentmail.org,BS in Information Systems,Bachelor's Degree,1/14/33
161,ethan.clark129@studentmail.org,Published Project,Project,2/6/24
162,isabella.white130@studentmail.org,Systems Analyst,Career,10/16/22
163,ethan.thompson131@ellarises.org,Internship,Internship,7/17/22
164,ethan.thompson131@ellarises.org,Junior QA Tester,Career,3/14/25
165,ethan.thompson131@ellarises.org,Published Project,Project,12/8/23
166,hannah.hill132@ellarises.org,Clinical Data Coordinator,Career,1/23/22
167,grace.jones133@studentmail.org,High School Diploma,High School Diploma,5/15/25
168,ava.moore134@studentmail.org,BS in Data Analytics,Bachelor's Degree,2/6/25
169,ava.moore134@studentmail.org,Mentorship Program,Career,8/31/25
170,sofia.smith135@learners.net,Published Project,Project,4/28/22
171,sofia.smith135@learners.net,Competition Award,Certificates & Awards,8/3/22
172,sofia.smith135@learners.net,Mentorship Program,Career,3/11/22
173,sofia.clark136@ellarises.org,High School Diploma,High School Diploma,7/6/26
174,lucas.allen137@studentmail.org,Camp Counselor,Career,9/11/25
175,lucas.allen137@studentmail.org,High School Diploma,High School Diploma,1/14/26
176,lucas.allen137@studentmail.org,Web Development Certificate,Certificates & Awards,4/14/26
177,sophia.brown138@community.org,Competition Award,Certificates & Awards,6/15/25
178,sophia.brown138@community.org,Retail Assistant,Career,7/11/25
179,evelyn.garcia139@learners.net,Published Project,Project,1/12/25
180,claire.harris140@learners.net,High School Diploma,High School Diploma,4/5/24
181,ella.scott141@studentmail.org,Data Analyst,Career,8/8/26
182,liam.clark142@ellarises.org,Internship,Internship,2/21/25
183,jack.jones143@ellarises.org,Retail Assistant,Career,8/3/23
184,sofia.scott144@ellarises.org,Data Analyst,Career,12/6/26
185,sofia.scott144@ellarises.org,Junior Art Assistant,Career,4/16/23
186,elijah.brown145@learners.net,Published Project,Project,12/28/23
187,victoria.ramirez147@ellarises.org,Retail Assistant,Career,5/18/25
188,victoria.ramirez147@ellarises.org,Published Project,Project,1/29/25
189,sophia.garcia149@studentmail.org,Web Development Certificate,Certificates & Awards,12/6/24
190,claire.torres150@ellarises.org,Lab Assistant,Career,2/12/30
191,claire.torres150@ellarises.org,Lifeguard,Career,5/23/23
192,henry.ramirez151@community.org,Middle School Diploma,Middle School Diploma,12/7/27
193,henry.ramirez151@community.org,Retail Assistant,Career,3/25/22
194,kennedy.ramirez152@ellarises.org,Lifeguard,Career,3/23/22
195,mia.anderson153@community.org,MS in Data Science,Master's Degree,4/1/26
196,eleanor.jackson154@learners.net,Data Analyst,Career,9/15/24
197,sebastian.anderson155@learners.net,BS in Computer Science,Bachelor's Degree,10/14/27
198,sebastian.anderson155@learners.net,Software Engineer I,Career,11/13/27
199,evelyn.lee156@community.org,Middle School Diploma,Middle School Diploma,3/9/25
200,evelyn.lee156@community.org,Junior Art Assistant,Career,11/25/24
201,evelyn.lee156@community.org,Internship,Internship,12/23/24
202,emma.lee157@studentmail.org,Internship,Internship,1/17/25
203,addison.ramirez158@community.org,AAS in Drafting & Design,Associate's Degree,9/23/32
204,skylar.hernandez159@ellarises.org,Middle School Diploma,Middle School Diploma,3/7/23
205,skylar.hernandez159@ellarises.org,Digital Illustration Certificate,Certificates & Awards,6/9/27
206,skylar.hernandez159@ellarises.org,Mentorship Program,Career,11/16/24
207,kennedy.martinez160@studentmail.org,IT Help Desk Trainee,Career,12/27/22
208,kennedy.martinez160@studentmail.org,Apprentice Technician,Apprenticeship,7/13/22
209,evelyn.lopez161@community.org,Competition Award,Certificates & Awards,2/9/24
210,evelyn.lopez161@community.org,High School Diploma,High School Diploma,4/11/30
211,claire.lee162@studentmail.org,Competition Award,Certificates & Awards,1/21/25
212,claire.lee162@studentmail.org,Customer Support Rep,Career,2/28/29
213,amelia.thompson163@ellarises.org,Lifeguard,Career,10/2/25
214,evelyn.garcia164@community.org,Middle School Diploma,Middle School Diploma,10/29/25
215,zoey.lee165@community.org,High School Diploma,High School Diploma,3/21/26
216,abigail.allen166@studentmail.org,Middle School Diploma,Middle School Diploma,5/8/25
217,abigail.allen166@studentmail.org,MS in Information Systems,Master's Degree,11/9/29
218,lily.white167@learners.net,Internship,Internship,4/20/24
219,skylar.jones168@learners.net,Published Project,Project,6/24/22
220,skylar.jones168@learners.net,Internship,Internship,7/1/22
221,skylar.jones168@learners.net,High School Diploma,High School Diploma,12/4/22
222,scarlett.perez169@ellarises.org,Internship,Internship,7/28/24
223,scarlett.perez169@ellarises.org,High School Diploma,High School Diploma,9/18/29
224,mason.garcia171@community.org,High School Diploma,High School Diploma,10/1/24
225,mason.garcia171@community.org,Mentorship Program,Career,8/21/24
226,violet.young172@studentmail.org,Systems Analyst,Career,8/20/25
227,mateo.wright173@ellarises.org,Mentorship Program,Career,6/1/24
228,mateo.wright173@ellarises.org,Published Project,Project,4/14/24
229,lily.lopez174@studentmail.org,Competition Award,Certificates & Awards,6/28/24
230,zoey.white176@community.org,MBA,Master's Degree,4/12/31
231,lily.gonzalez177@studentmail.org,BS in Data Analytics,Bachelor's Degree,4/29/26
232,michael.davis178@learners.net,Web Development Certificate,Certificates & Awards,1/29/26
233,michael.davis178@learners.net,Customer Support Rep,Career,1/29/25
234,aria.ramirez179@ellarises.org,Middle School Diploma,Middle School Diploma,5/11/25
235,james.allen180@learners.net,Middle School Diploma,Middle School Diploma,11/11/23
236,james.allen180@learners.net,Mentorship Program,Career,8/14/23
237,james.allen180@learners.net,BS in Mechanical Engineering,Bachelor's Degree,11/18/23
238,elizabeth.perez181@studentmail.org,Internship,Internship,3/21/23
239,mason.ramirez183@ellarises.org,Middle School Diploma,Middle School Diploma,1/31/25
240,benjamin.jones184@ellarises.org,AA in Art & Design,Associate's Degree,3/4/30
241,lillian.martinez185@learners.net,Competition Award,Certificates & Awards,12/31/23
242,riley.garcia186@learners.net,Camp Counselor,Career,3/7/24
243,riley.garcia186@learners.net,High School Diploma,High School Diploma,5/19/26
244,emma.harris187@community.org,Middle School Diploma,Middle School Diploma,6/26/24
245,stella.jones188@learners.net,Internship,Internship,3/16/25
246,stella.jones188@learners.net,AS in Information Systems,Associate's Degree,1/19/29
247,camila.williams189@learners.net,Internship,Internship,1/12/24
248,levi.lopez190@studentmail.org,Published Project,Project,8/29/23
249,levi.lopez190@studentmail.org,Internship,Internship,12/11/23
250,mia.gonzalez191@ellarises.org,High School Diploma,High School Diploma,4/2/25
251,jack.taylor192@ellarises.org,Studio Assistant,Career,9/15/29
252,jackson.white194@learners.net,Middle School Diploma,Middle School Diploma,8/26/25
253,ethan.jackson195@learners.net,Internship,Internship,12/8/23
254,ethan.jackson195@learners.net,Studio Assistant,Career,6/10/23
255,amelia.jones197@community.org,High School Diploma,High School Diploma,12/19/23
256,henry.williams198@studentmail.org,Internship,Internship,11/1/22
257,isabella.hill199@studentmail.org,Mentorship Program,Career,9/7/24
258,camila.king200@learners.net,Product Designer,Career,4/12/26
259,riley.young201@community.org,Data Analyst,Career,10/16/34
260,henry.garcia203@learners.net,BS in Data Analytics,Bachelor's Degree,11/5/24
261,henry.garcia203@learners.net,Software Engineer I,Career,2/19/25
262,lily.lopez204@learners.net,MBA,Master's Degree,3/30/23
263,sophia.white205@learners.net,Published Project,Project,7/30/25
264,harper.martin206@community.org,IT Support Certificate,Certificates & Awards,11/23/28
265,harper.martin206@community.org,Retail Assistant,Career,3/21/23
266,aaliyah.jones207@community.org,High School Diploma,High School Diploma,12/16/25
267,riley.rodriguez208@community.org,Clinical Data Coordinator,Career,8/15/30
268,riley.rodriguez208@community.org,Internship,Internship,12/13/23
269,penelope.rodriguez210@learners.net,Data Analytics Certificate,Certificates & Awards,4/11/29
270,chloe.flores211@learners.net,AS in Information Systems,Associate's Degree,12/25/23
271,chloe.flores211@learners.net,IT Support Certificate,Certificates & Awards,12/6/23
272,lucy.wilson212@community.org,Internship,Internship,1/8/23
273,levi.thomas213@community.org,Systems Analyst,Career,9/17/23
274,levi.robinson214@studentmail.org,High School Diploma,High School Diploma,2/10/31
275,kennedy.sanchez215@studentmail.org,Competition Award,Certificates & Awards,8/7/26
276,avery.moore216@community.org,Mentorship Program,Career,2/7/26
277,avery.moore216@community.org,Systems Analyst,Career,7/5/25
278,avery.moore216@community.org,High School Diploma,High School Diploma,10/18/22
279,oliver.thomas217@studentmail.org,Middle School Diploma,Middle School Diploma,5/19/24
280,oliver.thomas217@studentmail.org,MS in Data Science,Master's Degree,4/5/24
281,mateo.robinson219@studentmail.org,Published Project,Project,8/11/22
282,mateo.robinson219@studentmail.org,Middle School Diploma,Middle School Diploma,4/17/22
283,jack.jackson220@ellarises.org,Published Project,Project,1/25/26
284,natalie.williams221@community.org,Middle School Diploma,Middle School Diploma,4/14/25
285,natalie.williams221@community.org,MBA,Master's Degree,2/17/28
286,evelyn.harris222@community.org,Junior QA Tester,Career,10/29/25
287,zoe.perez223@learners.net,AS in Information Systems,Associate's Degree,12/20/25
288,zoe.perez223@learners.net,Published Project,Project,10/25/25
289,mia.williams224@studentmail.org,BS in Information Systems,Bachelor's Degree,4/1/28
290,mia.williams224@studentmail.org,AS in Information Systems,Associate's Degree,4/1/26
291,daniel.rodriguez225@learners.net,Digital Illustration Certificate,Certificates & Awards,4/26/29
292,daniel.wright226@community.org,Junior QA Tester,Career,7/25/24
293,daniel.wright226@community.org,Junior Art Assistant,Career,1/18/25
294,oliver.nguyen227@learners.net,BS in Data Analytics,Bachelor's Degree,9/14/32
295,oliver.nguyen227@learners.net,Middle School Diploma,Middle School Diploma,9/14/25
296,madison.brown228@community.org,Digital Illustration Certificate,Certificates & Awards,1/21/24
297,madison.brown228@community.org,Internship,Internship,10/15/23
298,addison.williams229@ellarises.org,Junior Art Assistant,Career,1/2/23
299,grace.clark230@community.org,AS in Computer Science,Associate's Degree,11/23/24
300,levi.king231@community.org,Mentorship Program,Career,11/1/22
301,levi.king231@community.org,Competition Award,Certificates & Awards,5/31/22
302,stella.taylor232@community.org,High School Diploma,High School Diploma,7/8/27
303,brooklyn.jackson233@studentmail.org,Retail Assistant,Career,7/20/25
304,penelope.jackson234@ellarises.org,AS in Computer Science,Associate's Degree,9/6/23
305,penelope.jackson234@ellarises.org,Internship,Internship,10/6/23
306,aurora.garcia235@learners.net,Middle School Diploma,Middle School Diploma,7/9/25
307,aurora.garcia235@learners.net,High School Diploma,High School Diploma,7/9/26
308,paisley.scott236@learners.net,Published Project,Project,10/4/23
309,mason.anderson237@studentmail.org,Competition Award,Certificates & Awards,11/13/23
310,camila.smith238@studentmail.org,MFA in Studio Arts,Master's Degree,8/4/34
311,claire.jackson239@ellarises.org,Lifeguard,Career,5/31/25
312,isabella.lopez240@community.org,IT Help Desk Trainee,Career,12/9/23
313,isabella.lopez240@community.org,Published Project,Project,9/15/23
314,savannah.williams241@ellarises.org,Middle School Diploma,Middle School Diploma,12/16/23
315,skylar.hernandez243@community.org,Web Development Certificate,Certificates & Awards,7/10/32
316,zoey.lopez244@community.org,Competition Award,Certificates & Awards,1/16/25
317,riley.rodriguez245@community.org,MBA,Master's Degree,11/7/25
318,lucas.moore246@learners.net,Retail Assistant,Career,9/12/25
319,lillian.brown247@ellarises.org,High School Diploma,High School Diploma,5/22/30
320,bella.davis248@learners.net,Internship,Internship,7/17/22
321,bella.davis248@learners.net,Competition Award,Certificates & Awards,1/10/24
322,hannah.thomas250@ellarises.org,Competition Award,Certificates & Awards,7/1/22
323,ella.brown251@studentmail.org,IT Support Certificate,Certificates & Awards,11/29/25
324,ella.brown251@studentmail.org,AS in Computer Science,Associate's Degree,11/29/25
325,ella.brown251@studentmail.org,Camp Counselor,Career,11/2/24
326,grace.nguyen252@community.org,Competition Award,Certificates & Awards,12/10/24
327,grace.nguyen252@community.org,Mentorship Program,Career,9/20/24
328,daniel.clark253@community.org,Internship,Internship,7/9/25
329,eleanor.smith254@studentmail.org,Lab Assistant,Career,9/16/30
330,amelia.jones255@community.org,Lab Assistant,Career,2/28/25
331,oliver.white256@community.org,Web Development Certificate,Certificates & Awards,9/22/22
332,ethan.rodriguez257@learners.net,MS in Information Systems,Master's Degree,11/11/31
333,victoria.smith258@ellarises.org,Software Engineer I,Career,7/7/28
334,madison.thomas259@community.org,Systems Analyst,Career,4/6/35
335,madison.thomas259@community.org,Web Development Certificate,Certificates & Awards,4/6/32
336,isabella.clark260@ellarises.org,Middle School Diploma,Middle School Diploma,4/28/24
337,charlotte.thomas261@ellarises.org,Web Development Certificate,Certificates & Awards,7/24/23
338,camila.allen262@learners.net,Competition Award,Certificates & Awards,8/20/23
339,claire.thomas263@learners.net,Mentorship Program,Career,5/10/22
340,amelia.scott264@studentmail.org,Middle School Diploma,Middle School Diploma,6/13/22
341,leah.king265@learners.net,Published Project,Project,4/16/24
342,leah.king265@learners.net,Competition Award,Certificates & Awards,6/11/22
343,jack.thomas266@studentmail.org,Middle School Diploma,Middle School Diploma,1/28/25
344,noah.clark267@studentmail.org,BS in Information Systems,Bachelor's Degree,10/24/25
345,lucas.white268@ellarises.org,MS in Information Systems,Master's Degree,2/9/35
346,lucas.white268@ellarises.org,Published Project,Project,5/20/24
347,mia.jones269@studentmail.org,Mentorship Program,Career,3/20/26
348,mia.jones269@studentmail.org,MFA in Studio Arts,Master's Degree,10/19/26
349,mia.jones269@studentmail.org,Middle School Diploma,Middle School Diploma,3/11/24
350,hannah.gonzalez270@ellarises.org,Internship,Internship,7/22/24
351,hannah.gonzalez270@ellarises.org,Competition Award,Certificates & Awards,8/22/24
352,claire.jackson271@community.org,MS in Information Systems,Master's Degree,12/1/26
353,claire.jackson271@community.org,Published Project,Project,12/13/25
354,zoe.lee273@community.org,MS in Data Science,Master's Degree,10/5/22
355,oliver.jackson274@studentmail.org,Middle School Diploma,Middle School Diploma,9/16/24
356,jackson.scott275@learners.net,High School Diploma,High School Diploma,12/15/25
357,stella.hernandez276@studentmail.org,AA in Art & Design,Associate's Degree,10/2/27
358,charlotte.smith277@community.org,Middle School Diploma,Middle School Diploma,4/5/22
359,charlotte.smith277@community.org,Web Development Certificate,Certificates & Awards,8/15/22
360,charlotte.smith277@community.org,Software Engineer I,Career,10/4/22
361,olivia.wilson278@community.org,Published Project,Project,12/23/25
362,ava.wright279@community.org,Camp Counselor,Career,7/4/22
363,mateo.ramirez280@studentmail.org,Digital Illustration Certificate,Certificates & Awards,7/8/22
364,mason.taylor281@learners.net,IT Help Desk Trainee,Career,8/15/24
365,mason.taylor281@learners.net,Competition Award,Certificates & Awards,11/1/24
366,addison.anderson282@learners.net,Camp Counselor,Career,9/9/25
367,leah.scott283@community.org,MS in Information Systems,Master's Degree,6/2/23
368,leah.scott283@community.org,Software Engineer I,Career,7/2/23
369,skylar.torres284@ellarises.org,Web Development Certificate,Certificates & Awards,1/8/25
370,jack.moore285@ellarises.org,Customer Support Rep,Career,8/22/27
371,layla.lee286@ellarises.org,AS in Computer Science,Associate's Degree,4/14/25
372,lillian.torres287@community.org,Camp Counselor,Career,12/28/22
373,james.lee289@ellarises.org,AAS in Drafting & Design,Associate's Degree,9/22/23
374,leah.ramirez290@studentmail.org,Junior QA Tester,Career,7/4/26
375,abigail.moore291@studentmail.org,Apprentice Technician,Apprenticeship,8/4/31
376,abigail.moore291@studentmail.org,BA in Studio Arts,Bachelor's Degree,8/4/34
377,natalie.miller292@ellarises.org,Published Project,Project,4/22/23
378,abigail.scott295@studentmail.org,High School Diploma,High School Diploma,2/7/26
379,abigail.scott295@studentmail.org,Data Analytics Certificate,Certificates & Awards,5/8/26
380,brooklyn.moore296@community.org,Competition Award,Certificates & Awards,7/30/25
381,benjamin.miller298@studentmail.org,Camp Counselor,Career,12/18/24
382,henry.perez299@community.org,MBA,Master's Degree,9/29/30
383,james.lee300@learners.net,MBA,Master's Degree,4/23/27
384,sophia.robinson302@studentmail.org,MFA in Studio Arts,Master's Degree,3/6/29
385,camila.martin303@studentmail.org,AS in Computer Science,Associate's Degree,7/6/25
386,levi.nguyen304@community.org,Customer Support Rep,Career,3/12/27
387,levi.nguyen304@community.org,Mentorship Program,Career,7/30/25
388,levi.nguyen304@community.org,IT Support Certificate,Certificates & Awards,3/12/28
389,sebastian.hill305@ellarises.org,Published Project,Project,7/27/25
390,sebastian.hill305@ellarises.org,Middle School Diploma,Middle School Diploma,8/18/25
